X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,lo_replica,codigo_nodo_estacion,componente_wifi,componente_aplificacion
-74.0845844104445,4.69089971757193,122,04103,Ferias,999214.8694,1010471.9998,Transversal  67 Bis,Calle 80,1,1,0,0,4,0,4.69089972,-74.08458441,{2DF484C8-C7FC-48A8-9105-7543F7AFB5E5},,,TECNICA,2022/08/24 16:52:00+00,,4103,Valor SI al campo,
-74.0747264577321,4.72733704730468,123,03004,Gratamira,1000308.5843,1014501.3005,Av Suba Cl 135,Suba,2,1,0,0,4,0,4.72733705,-74.07472646,{99F0DC60-AD8E-4F9A-83DD-6330D77E09C5},,,TECNICA,2022/08/24 16:52:06+00,,3004,Valor SI al campo,
-74.0722815173587,4.71193003766027,124,03006,Niza - Calle 127,1000579.8469,1012797.5673,Av Suba Cl 127,Suba,2,2,0,0,4,0,4.71193004,-74.07228152,{783C3C78-5528-41BF-A045-389DBA0E02EE},,,TECNICA,2022/04/22 15:51:08+00,,3006,,
-74.1255732090374,4.56465806494611,125,09003,Socorro,994666.2537,996512.182,Carrera 16B - Carrera 14A,Caracas,2,2,0,0,4,0,4.56465807,-74.12557321,{28693BED-C50F-4F8D-9C4D-D9E6592A13F5},,,TECNICA,2022/08/24 16:56:31+00,,9003,Valor SI al campo,
-74.0937065192363,4.5769371097173,126,10002,AV. 1 Mayo,998202.4918,997869.8573,AV. 1? Mayo con Cra 7,Cr 7-10,3,2,0,0,4,0,4.57693711,-74.09370652,{EE41224E-8763-42E1-9DA3-5103744DCC80},,,TECNICA,2022/08/24 16:34:24+00,,10002,Valor SI al campo,
-74.0818358527543,4.59402109027225,127,10005,Bicentenario,999519.7539,999759.0085,Kra 10 -Cl5,Cr 7-10,0,2,1,116,2,1,4.59402109,-74.08183585,{0A48E18C-2187-4DCB-9C24-F716163269F8},,,TECNICA,2022/08/24 16:38:59+00,,10005,Valor SI al campo,
-74.1115809460857,4.62788590476156,128,05107,Américas - Carrera 53A,996219.2913,1003503.9181,Amï¿½ricas - KR 53A,Americas,4,1,0,0,4,0,4.6278859,-74.11158095,{D25E6235-5922-46A6-B6EF-95990EE5CEAD},,,TECNICA,2022/04/22 15:51:08+00,,5107,,
-74.1412996447735,4.63084738337855,129,05101,Mandalay,992921.7631,1003831.6303,av. Amï¿½ricas Carrera 73,Americas,4,1,0,0,4,0,4.63084738,-74.14129964,{0E91CA04-38AD-4921-BFD7-63A5B3FB75CC},,,TECNICA,2022/04/22 15:51:08+00,,5101,,
-74.0986314921589,4.57141438704361,130,10001,Country Sur,997655.965,997259.1614,Kra 10- Cl28 sur,Cr 7-10,2,2,0,0,4,0,4.57141439,-74.09863149,{A20BF267-63FB-4F01-8D54-BAEF241E5035},,,TECNICA,2022/08/24 16:48:20+00,,10001,Valor SI al campo,
-74.1237539994384,4.59379207060025,131,07007,NQS - Calle 38A S,994868.3368,999733.8476,AutoSur - Kr 39A,NQS,2,1,0,0,4,0,4.59379207,-74.123754,{54C04091-808B-4055-AFF7-8B79167038EB},,,TECNICA,2022/04/22 15:51:08+00,,7007,,
-74.13038805048,4.57030190418495,132,08002,Biblioteca,994132.0024,997136.3229,Calle 48A Sur,Tunal,2,1,0,0,4,0,4.5703019,-74.13038805,{F5B73244-1865-4F8B-BEA6-B19FC066AF1C},,,TECNICA,2022/08/24 16:38:39+00,,8002,Valor SI al campo,
-74.0808536025439,4.73543402324895,133,03003,21 Ángeles,999628.8228,1015396.6792,Av Suba Cl 136,Suba,2,1,0,0,4,0,4.73543402,-74.0808536,{74028256-1F3C-4632-82B9-2B37E5E02D62},,,TECNICA,2022/08/24 17:00:09+00,,3003,Valor SI al campo,
-74.0763125810224,4.62046589904735,134,06109,Centro Memoria,1000132.6346,1002683.3122,Carrera 20,Calle 26,2,2,0,0,4,0,4.6204659,-74.07631258,{1EE77526-7229-47D3-A734-8880475A7882},,,TECNICA,2022/08/24 16:48:14+00,,6109,Valor SI al campo,
-74.1301629204737,4.6296856099266,135,05103,Marsella,994157.4686,1003703.0582,Av. Americas -Carrera 69C,Americas,6,1,1,32,4,1,4.62968561,-74.13016292,{4D51EF83-4E61-44FB-B319-6727211AB510},,,TECNICA,2022/04/22 15:51:08+00,,5103,,
-74.1014166764251,4.62280517131233,136,12001,Carrera 43,997347.0895,1002942.0369,Av. Americas -Carrera 43,Americas,2,2,0,0,4,0,4.62280517,-74.10141668,{C85A7B08-D302-49DC-AC95-944445D3CBC9},,,TECNICA,2022/08/24 16:48:07+00,,12001,Valor SI al campo,
-74.0743188453787,4.60606079266802,137,10007,Las Nieves,1000353.8669,1001090.3752,Kra 10- Cl18,Cr 7-10,2,2,0,0,4,0,4.60606079,-74.07431885,{EFD3320D-CE33-461C-9A12-784CA0F10EFA},,,TECNICA,2022/08/24 16:52:14+00,,10007,Valor SI al campo,
-74.0692264594369,4.61524712039083,138,10009,Museo Nacional,1000918.9183,1002106.2172,Kra 7- Cl32,Cr 7-10,0,1,0,0,4,0,4.61524712,-74.06922646,{21716E46-BFB5-4BE5-A035-BF07736404AA},,,TECNICA,2022/08/24 16:52:23+00,,10009,Valor SI al campo,
-74.0714966957184,4.61089732815177,139,10008,San Diego,1000667.0148,1001625.2083,Kra 10- Cl23,Cr 7-10,2,2,0,0,4,0,4.61089733,-74.0714967,{71CFDE0D-7A6D-4934-9EF6-CD64E5EDC8BD},,,TECNICA,2022/04/22 15:51:08+00,,10008,,
-74.1520629177544,4.63419960970753,140,05005,Transversal 86,991727.5244,1004202.4413,Av. Americas -tv. 86,Americas,4,1,0,0,4,0,4.63419961,-74.15206292,{FDCA5630-9B27-4C38-9C9A-895509D96A30},,,TECNICA,2022/04/22 15:51:08+00,,5005,,
-74.0711404665779,4.70653717316555,141,03007,Humedal Córdoba,1000706.4471,1012201.2159,Av Suba Cl 119,Suba,2,1,0,0,4,0,4.70653717,-74.07114047,{0856C302-A2EF-4D39-B1E4-6CF4C1D70FC9},,,TECNICA,2022/08/24 16:52:10+00,,3007,Valor SI al campo,
-74.0802804141022,4.62598289480921,142,06108,Concejo de Bogotá,999692.3657,1003293.3903,Carrera38,Calle 26,2,1,0,0,4,0,4.62598289,-74.08028041,{A89982DF-C991-4649-BA4C-ECEEEC94E236},,,TECNICA,2022/04/22 15:51:08+00,,6108,,
-74.0673095387839,4.60464285849769,143,06111,Universidades,1001131.6384,1000933.5853,carrera 4,Calle 26,2,2,0,0,3,0,4.60464286,-74.06730954,{0C742386-E11D-49FF-9387-64F8742CB6F5},,,TECNICA,2022/08/24 16:56:40+00,,6111,Valor SI al campo,
-74.0970083933887,4.56571810967296,144,10000,Portal 20 de Julio,997836.0595,996629.2544,Kra 5 a Cl 33 Sur,Cr 7-10,0,0,1,216,1,1,4.56571811,-74.09700839,{9F0BD8FC-7CB1-48A7-8938-2C6665F2196D},,,TECNICA,2022/08/24 16:52:38+00,,10500,Valor SI al campo,
-74.1046401515891,4.6256689147459,145,12000,Puente Aranda,996989.4255,1003258.7268,calle 13 carrera 47,Americas,2,1,0,0,4,0,4.62566891,-74.10464015,{1282A081-32B9-47F1-9E6E-880DA10D7440},,,TECNICA,2022/08/24 16:56:11+00,,12000,Valor SI al campo,
-74.0774061180051,4.60101831025173,146,10006,San Victorino,1000011.2959,1000532.7695,Kra 10- Cl12,Cr 7-10,3,2,0,0,4,0,4.60101831,-74.07740612,{82510740-6123-44A5-860A-30C4A63D9617},,,TECNICA,2022/08/24 16:56:23+00,,10006,Valor SI al campo,
-74.0903382444227,4.58153243276756,147,10003,Ciudad Jardín,998576.2678,998378.0068,Kra 10- Cl12 sur,Cr 7-10,2,1,0,0,4,0,4.58153243,-74.09033824,{C1A7183F-2271-4DA4-BF68-D7656692280E},,,TECNICA,2022/08/24 16:48:17+00,,10003,Valor SI al campo,
-74.0869209536273,4.58625693638222,148,10004,Policarpa,998955.4783,998900.443,Kra 10- Cl3 sur,Cr 7-10,2,2,0,0,4,0,4.58625694,-74.08692095,{4F280485-DDAB-4835-BCB9-BAA6DD6B4D7D},,,TECNICA,2022/08/24 16:52:37+00,,10004,Valor SI al campo,
-74.1812246584018,4.59687865317087,149,07010,Bosa,988491.1911,1000075.8352,soacha,Soacha,2,1,0,0,4,0,4.59687865,-74.18122466,{80AC961D-9AE5-44E7-AA30-4329A3BDF607},,,TECNICA,2022/08/24 16:39:06+00,,7507,Valor SI al campo,
